,biol_act,num_of_crit_points,num_of_3_minus_1,num_of_3_plus_1,num_of_3_plus_3,sum_rol,sum_roe,sum_rolroe,sum_rolroe_ala,sum_rolroe_arg,sum_rolroe_asn,sum_rolroe_asp,sum_rolroe_cys,sum_rolroe_glu,sum_rolroe_gln,sum_rolroe_gly,sum_rolroe_his,sum_rolroe_ile,sum_rolroe_leu,sum_rolroe_lys,sum_rolroe_met,sum_rolroe_phe,sum_rolroe_pro,sum_rolroe_ser,sum_rolroe_thr,sum_rolroe_trp,sum_rolroe_tyr,sum_rolroe_val,sum_rolroe_hoh,sum_rol_h,sum_rol_c,sum_rol_n,sum_rol_o,sum_rol_f,sum_rol_p,sum_rol_s,sum_rol_cl,sum_rol_br,sum_rol_i,yon_3_minus_1,yon_3_plus_1,yon_3_plus_3,yon_rolroe_ala,yon_rolroe_arg,yon_rolroe_asn,yon_rolroe_asp,yon_rolroe_cys,yon_rolroe_glu,yon_rolroe_gln,yon_rolroe_gly,yon_rolroe_his,yon_rolroe_ile,yon_rolroe_leu,yon_rolroe_lys,yon_rolroe_met,yon_rolroe_phe,yon_rolroe_pro,yon_rolroe_ser,yon_rolroe_thr,yon_rolroe_trp,yon_rolroe_tyr,yon_rolroe_val,yon_rolroe_hoh,yon_rol_h,yon_rol_c,yon_rol_n,yon_rol_o,yon_rol_f,yon_rol_p,yon_rol_s,yon_rol_cl,yon_rol_br,yon_rol_i
1a30,4.3,51,37,14,0,1.7303038,1.6614754,3.3917792,0.2280782,0.1382603,0.0,0.7525857,0.0,0.0,0.0,0.9177076999999999,0.0,0.30157880000000004,0.04092079999999999,0.0,0.0,0.0,0.1230193,0.0,0.0,0.0,0.0,0.2092091,0.6804193000000001,2.2558734,0.0235417,0.0873623,1.0250018,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1a94,7.85,112,82,29,1,3.4810853999999996,3.479742,6.960827399999999,0.8600105,0.3071499,0.0,2.0995266999999997,0.0,0.0,0.0,1.1545215,0.0,1.1196817,0.12909690000000001,0.0,0.0,0.0366899,0.3571109,0.0,0.0,0.0,0.0,0.2736857,0.6233537,4.9258386000000005,0.21270139999999998,0.0540745,1.7682129,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1a9m,6.92,106,69,36,1,2.7840759999999998,2.9336079,5.7176839,0.40829309999999996,0.28253420000000007,0.0,1.1412301,0.0,0.0,0.0,0.6077349,0.5021288,1.8723457000000001,0.0938878,0.019359,0.0,0.0,0.18992710000000002,0.0,0.0,0.0,0.0,0.3770244,0.2232188,4.352775200000001,0.08735779999999999,0.2029799,1.074571,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1aaq,8.4,75,52,23,0,2.8014692,4.1680715,6.9695407,0.8530337,0.3574537,0.0,0.8486815000000001,0.0,0.0,0.0,3.7582553,0.0,0.5164308,0.0,0.0,0.0,0.0,0.2757771,0.0,0.0,0.0,0.0,0.1682524,0.1916562,3.8857042000000006,0.21225519999999998,0.0,2.8715813,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1aid,4.82,45,35,10,0,0.8454976,0.7950525999999999,1.6405501999999998,0.0148755,0.0,0.0,0.0978956,0.0,0.0,0.0,0.0583377,0.0,0.7855555000000001,0.0,0.0,0.0,0.0,0.0873888,0.0,0.28443720000000006,0.0,0.0,0.1755675,0.1364924,1.0720124000000002,0.25292489999999995,0.0,0.0,0.050214800000000004,0.0,0.1002818,0.1651163,0.0,0.0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0
1ajv,7.72,109,69,38,2,2.7170012999999997,2.6081835,5.3251848,0.2911057,0.17571689999999998,0.0,1.5505718000000002,0.0,0.0,0.0,0.7335007,0.0,1.5300816999999998,0.10799629999999999,0.0,0.0,0.0,0.2168737,0.0,0.0,0.0,0.0,0.37082930000000003,0.34850869999999995,3.0155957,1.2373399,0.0,1.0158364999999998,0.0,0.0,0.056412699999999996,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
1ajx,7.91,84,63,21,0,1.9406104000000002,1.8933700999999998,3.8339805,0.1612881,0.32343140000000004,0.0,0.9291407,0.0,0.0,0.0,0.5318753999999999,0.0,1.1122054000000001,0.1096433,0.0,0.0,0.0,0.0907214,0.0,0.0,0.0,0.0,0.21312330000000002,0.3625515,2.7538816,0.3860438,0.0,0.6940551,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1b6j,7.92,106,72,34,0,2.8559051,2.7792916,5.6351967,0.5469446,0.2223349,0.0,1.5284263999999999,0.0,0.0,0.0,1.3764087000000003,0.0,1.1338999,0.0491148,0.0,0.0,0.0,0.14567239999999998,0.0,0.0,0.0,0.0,0.20944030000000002,0.42295469999999996,4.1056534,0.1623382,0.0265812,1.3406239000000002,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1b6k,8.74,99,75,24,0,2.7683318,2.5293341,5.2976659,0.7305980000000001,0.2005554,0.0,1.4394036,0.0,0.0,0.0,1.0254279,0.0,0.592651,0.0926987,0.0,0.0,0.0,0.0838383,0.0,0.0,0.0,0.0,0.23936449999999998,0.8931285,4.1856358,0.1997682,0.0,0.9122619000000001,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0
1b6l,8.3,90,65,24,1,2.3454768000000006,2.1946746999999998,4.5401515,0.3347011,0.0666424,0.0,1.3941374999999998,0.0,0.0,0.0,0.7894115,0.0,1.0045568,0.07480899999999999,0.0,0.0,0.0,0.0810224,0.0,0.0,0.0,0.0,0.27047279999999996,0.5243979999999999,3.3872706999999997,0.2561219,0.049207,0.8475519,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
